编号,x(m),y(m),海拔(m),As的浓度 (μg/g)
1,74,781,5,7.84
2,1373,731,11,5.93
3,1321,1791,28,4.9
4,0,1787,4,6.56
5,1049,2127,12,6.35
6,1647,2728,6,14.08
7,2883,3617,15,8.94
8,2383,3692,7,9.62
9,2708,2295,22,7.41
10,2933,1767,7,8.72
11,4233,895,6,5.93
12,4043,1895,14,9.17
13,2427,3971,2,5.72
14,3526,4357,7,4.49
15,5062,4339,5,5.51
16,4777,4897,8,11.45
17,5868,4904,16,6.14
18,6534,5641,6,7.84
19,5481,6004,0,7.41
20,4592,4603,6,8.5
21,2486,5999,2,5.51
22,3299,6018,4,9.84
23,3573,6213,5,9.39
24,4741,6434,5,3.3
25,5375,8643,15,4.09
26,5635,7965,29,6.14
27,5394,8631,12,5.31
28,5291,7349,10,3.69
29,4742,7293,9,21.87
30,4948,7293,6,18.38
31,5567,6782,7,10.53
32,7004,6226,11,3.5
33,7304,5230,10,6.35
34,7048,4600,24,5.51
35,8180,4496,15,4.49
36,9328,4311,24,3.5
37,9090,5365,20,5.51
38,8049,5439,18,4.29
39,8077,6401,29,4.29
40,8017,7210,39,6.56
41,6869,7286,18,16.58
42,7056,8348,37,7.41
43,7747,8260,49,5.93
44,8457,8991,21,4.69
45,9460,8311,45,4.9
46,9062,7639,45,5.31
47,9319,6799,49,4.29
48,10631,6472,57,5.51
49,10685,5528,34,4.69
50,10643,4472,45,7.2
51,11702,4480,71,5.31
52,11730,5532,54,4.9
53,11482,6354,61,4.9
54,10700,8184,50,3.89
55,10630,8774,29,3.69
56,11678,8618,17,3.11
57,11902,7709,30,3.89
58,13244,7056,37,3.89
59,12746,8450,21,2.91
60,12855,8945,18,3.3
61,13797,9621,18,4.9
62,14325,8666,23,4.09
63,15467,8658,17,2.91
64,12442,4329,65,2.72
65,13093,4339,56,3.11
66,13920,5354,79,3.3
67,14844,5519,62,3.3
68,16569,6055,78,6.14
69,16387,6609,44,3.69
70,16061,7352,28,4.49
71,15658,7594,24,3.11
72,14298,7418,36,8.06
73,14177,6684,35,3.69
74,15092,6936,32,3.69
75,12778,5799,93,3.5
76,17044,10691,93,2.72
77,17087,11933,43,8.5
